cycle,range_bin,doppler_bin,output_hex
1038385000,0,0,004cff69
1038395000,0,1,fff401dc
1038405000,0,2,00a2fdd0
1038415000,0,3,ff5401a2
1038425000,0,4,fe51ff23
1038435000,0,5,049300b2
1038445000,0,6,fcb80120
1038455000,0,7,00f7fd99
1038465000,0,8,fea4010b
1038475000,0,9,025700cb
1038485000,0,10,fddefd1c
1038495000,0,11,014b0507
1038505000,0,12,ffb3fc77
1038515000,0,13,00320047
1038525000,0,14,0006ffcb
1038535000,0,15,000f010f
1038545000,0,16,ffd8febf
1038555000,0,17,ffb0019a
1038565000,0,18,00b6feb8
1038575000,0,19,ffaa0112
1038585000,0,20,0057ffbb
1038595000,0,21,fef7fec8
1038605000,0,22,006e000e
1038615000,0,23,ff19ffc7
1038625000,0,24,0288027d
1038635000,0,25,fec9fe6f
1038645000,0,26,fffaffb0
1038655000,0,27,ffe700b5
1038665000,0,28,0005ffdb
1038675000,0,29,ff30ff17
1038685000,0,30,0204ffc3
1038695000,0,31,fdf100a9
1042975000,1,0,ffff0123
1042985000,1,1,00b8ff6a
1042995000,1,2,008b0051
1043005000,1,3,ff8800ad
1043015000,1,4,ff4bff8a
1043025000,1,5,0183ff94
1043035000,1,6,fed1ffb3
1043045000,1,7,ffdd0106
1043055000,1,8,ff0ffefb
1043065000,1,9,014801b3
1043075000,1,10,00c4fdca
1043085000,1,11,ff4102cb
1043095000,1,12,ff68fdb5
1043105000,1,13,0007ffb8
1043115000,1,14,018f0201
1043125000,1,15,ff80fdbd
1043135000,1,16,fe51011f
1043145000,1,17,01aa00a6
1043155000,1,18,fee1ff79
1043165000,1,19,00c20079
1043175000,1,20,fe41fffa
1043185000,1,21,0289ff16
1043195000,1,22,ff13014f
1043205000,1,23,fe91fd50
1043215000,1,24,046d03b3
1043225000,1,25,fc0efdc1
1043235000,1,26,015c0060
1043245000,1,27,ff4100c3
1043255000,1,28,00e0ff8f
1043265000,1,29,ffb5feca
1043275000,1,30,00b10161
1043285000,1,31,fe76fe79
1047565000,2,0,00ffff95
1047575000,2,1,fedc002a
1047585000,2,2,01e5001f
1047595000,2,3,fe7c000b
1047605000,2,4,fea7ff68
1047615000,2,5,0304027c
1047625000,2,6,feadfd80
1047635000,2,7,012501bd
1047645000,2,8,fd6cfeed
1047655000,2,9,01ed0132
1047665000,2,10,008afe01
1047675000,2,11,fe8b00c3
1047685000,2,12,00760066
1047695000,2,13,fffdfe58
1047705000,2,14,00fb0110
1047715000,2,15,ffaa0139
1047725000,2,16,feb5ffc1
1047735000,2,17,01c2fe88
1047745000,2,18,fd9d0235
1047755000,2,19,020cfd87
1047765000,2,20,ff0b005a
1047775000,2,21,ff9a00c4
1047785000,2,22,0165ffea
1047795000,2,23,fe91fff1
1047805000,2,24,01f40131
1047815000,2,25,fe31fdcc
1047825000,2,26,0118022f
1047835000,2,27,ff09fcfb
1047845000,2,28,00dc03fc
1047855000,2,29,fe81fd70
1047865000,2,30,02a7009a
1047875000,2,31,fdbcffe1
1052155000,3,0,0080fff9
1052165000,3,1,ffb5ff57
1052175000,3,2,00d600b3
1052185000,3,3,ffe900c3
1052195000,3,4,fd92fde5
1052205000,3,5,039a0330
1052215000,3,6,fea4fd9c
1052225000,3,7,ffb20171
1052235000,3,8,ffc7ff5d
1052245000,3,9,00fa0003
1052255000,3,10,feb8ff83
1052265000,3,11,00fc00ed
1052275000,3,12,fffbff2a
1052285000,3,13,ff77fefa
1052295000,3,14,00140122
1052305000,3,15,004b0115
1052315000,3,16,0154ff5d
1052325000,3,17,fdefffc5
1052335000,3,18,00b4003d
1052345000,3,19,0087ffa5
1052355000,3,20,fe7afff9
1052365000,3,21,00b4fe30
1052375000,3,22,ffa40362
1052385000,3,23,004efcf3
1052395000,3,24,0209037d
1052405000,3,25,fdc6fdf5
1052415000,3,26,016effcd
1052425000,3,27,fe7c0117
1052435000,3,28,00fdfea0
1052445000,3,29,feffffc2
1052455000,3,30,01dc0168
1052465000,3,31,fe15ff4b
1056745000,4,0,feed00e2
1056755000,4,1,0189ffeb
1056765000,4,2,00a9fef7
1056775000,4,3,fdcb01d7
1056785000,4,4,0093ff6d
1056795000,4,5,0292ff98
1056805000,4,6,fdba008d
1056815000,4,7,ffbf0014
1056825000,4,8,0125ff8b
1056835000,4,9,ff2a0064
1056845000,4,10,ffe7fec2
1056855000,4,11,004702a1
1056865000,4,12,002ffd1a
1056875000,4,13,ff0300bc
1056885000,4,14,00f800bb
1056895000,4,15,00b30011
1056905000,4,16,ff2fffa6
1056915000,4,17,00af017b
1056925000,4,18,fecffdb7
1056935000,4,19,00990163
1056945000,4,20,ff41ff8b
1056955000,4,21,001aff5e
1056965000,4,22,00b6018b
1056975000,4,23,fe8dfdbc
1056985000,4,24,04570439
1056995000,4,25,fbfefc12
1057005000,4,26,01e90120
1057015000,4,27,ff690025
1057025000,4,28,feb5fffa
1057035000,4,29,0259ff42
1057045000,4,30,ffa00195
1057055000,4,31,fee5fdff
1061335000,5,0,012d014d
1061345000,5,1,fea70090
1061355000,5,2,0037fed9
1061365000,5,3,0129015a
1061375000,5,4,feacffd0
1061385000,5,5,01bdffc4
1061395000,5,6,fe71feca
1061405000,5,7,012d01c9
1061415000,5,8,fe1afeb8
1061425000,5,9,012100ea
1061435000,5,10,ff66ff8a
1061445000,5,11,01f80154
1061455000,5,12,fdecfdae
1061465000,5,13,00e300e1
1061475000,5,14,0158ffa9
1061485000,5,15,fd6c002b
1061495000,5,16,02a10075
1061505000,5,17,fe650044
1061515000,5,18,fec5ffaf
1061525000,5,19,013bfef8
1061535000,5,20,ffe601be
1061545000,5,21,000bfe5a
1061555000,5,22,ff9d008a
1061565000,5,23,ffd90165
1061575000,5,24,02c4fe92
1061585000,5,25,fd67006e
1061595000,5,26,002e0036
1061605000,5,27,009cff6a
1061615000,5,28,000e00c0
1061625000,5,29,fff1fead
1061635000,5,30,ff220233
1061645000,5,31,0016fd3f
1065925000,6,0,ff64fffd
1065935000,6,1,0210ff66
1065945000,6,2,fda90089
1065955000,6,3,0140ff0f
1065965000,6,4,ff1a0141
1065975000,6,5,018f0078
1065985000,6,6,fe900041
1065995000,6,7,00abfd04
1066005000,6,8,fff702fd
1066015000,6,9,00f9feaa
1066025000,6,10,fea3ffc1
1066035000,6,11,ff1bfffa
1066045000,6,12,01c400ae
1066055000,6,13,ff2b00b8
1066065000,6,14,0083fe1c
1066075000,6,15,0032010e
1066085000,6,16,0006ffc1
1066095000,6,17,00b8ff4c
1066105000,6,18,fdeb0229
1066115000,6,19,fff6fe37
1066125000,6,20,01380065
1066135000,6,21,fe9b0058
1066145000,6,22,00e0fe33
1066155000,6,23,01450296
1066165000,6,24,fe9bfe09
1066175000,6,25,00d702b8
1066185000,6,26,001dfd1d
1066195000,6,27,fed301fc
1066205000,6,28,0206ffa0
1066215000,6,29,fcf3fecc
1066225000,6,30,0271ffc8
1066235000,6,31,ff0a0114
1070515000,7,0,ff5b02fa
1070525000,7,1,01cdfee8
1070535000,7,2,fedafeb3
1070545000,7,3,0072027a
1070555000,7,4,ffbcfe44
1070565000,7,5,02250067
1070575000,7,6,fe8400b0
1070585000,7,7,001effd4
1070595000,7,8,ff00ffd0
1070605000,7,9,001b004e
1070615000,7,10,00b4fe62
1070625000,7,11,01e10173
1070635000,7,12,fc81fea8
1070645000,7,13,025a0091
1070655000,7,14,ff0c00cc
1070665000,7,15,0088fead
1070675000,7,16,ff190144
1070685000,7,17,00e9feda
1070695000,7,18,ff5a010f
1070705000,7,19,ff28006a
1070715000,7,20,016cfdfa
1070725000,7,21,ff3d01eb
1070735000,7,22,0072ff00
1070745000,7,23,ff5a001e
1070755000,7,24,00b8ff82
1070765000,7,25,fef70258
1070775000,7,26,0190fe48
1070785000,7,27,fe29ffe1
1070795000,7,28,022b018a
1070805000,7,29,feacfded
1070815000,7,30,01f60228
1070825000,7,31,fdbcfce1
1075105000,8,0,00f20141
1075115000,8,1,ffe0feb3
1075125000,8,2,006b0077
1075135000,8,3,fecd0038
1075145000,8,4,ffe60046
1075155000,8,5,0345003e
1075165000,8,6,fc2f003a
1075175000,8,7,01c6ff6d
1075185000,8,8,0095ff03
1075195000,8,9,feae0136
1075205000,8,10,ffd8fe72
1075215000,8,11,00970408
1075225000,8,12,003efc42
1075235000,8,13,fee80117
1075245000,8,14,011f001f
1075255000,8,15,002afe47
1075265000,8,16,ff80021d
1075275000,8,17,0180ff7d
1075285000,8,18,fd350023
1075295000,8,19,018dffb6
1075305000,8,20,ffc8011e
1075315000,8,21,ff25feda
1075325000,8,22,012dffd0
1075335000,8,23,fe08ff21
1075345000,8,24,0431024f
1075355000,8,25,fd12ffe2
1075365000,8,26,0020fec4
1075375000,8,27,013fff92
1075385000,8,28,fefc0122
1075395000,8,29,0056ff99
1075405000,8,30,00bd002f
1075415000,8,31,fe20fef3
1079695000,9,0,00e8ff9a
1079705000,9,1,0013fffe
1079715000,9,2,008500c3
1079725000,9,3,ff45fed8
1079735000,9,4,ff3affa1
1079745000,9,5,02250242
1079755000,9,6,fdcaffaa
1079765000,9,7,01d6ff7d
1079775000,9,8,fdedff7c
1079785000,9,9,03500100
1079795000,9,10,fd79fde5
1079805000,9,11,feef01e3
1079815000,9,12,02f0ff55
1079825000,9,13,fdbb0035
1079835000,9,14,00f4ff0d
1079845000,9,15,007101d8
1079855000,9,16,ff2effb2
1079865000,9,17,01d5fed8
1079875000,9,18,fd0f0135
1079885000,9,19,012bff1a
1079895000,9,20,00e00061
1079905000,9,21,fe9dffb8
1079915000,9,22,016cfffc
1079925000,9,23,fef6ff73
1079935000,9,24,00f101f8
1079945000,9,25,ffe8fec2
1079955000,9,26,ffab00e7
1079965000,9,27,ffc1fe2b
1079975000,9,28,008a0139
1079985000,9,29,fff3ff41
1079995000,9,30,01060089
1080005000,9,31,fda3ffe0
1084285000,10,0,00fafeba
1084295000,10,1,00b0010f
1084305000,10,2,febbff3d
1084315000,10,3,001fff95
1084325000,10,4,ff49004f
1084335000,10,5,022102b7
1084345000,10,6,fe4afd98
1084355000,10,7,016b007a
1084365000,10,8,fe3b0076
1084375000,10,9,01c9ff9f
1084385000,10,10,ff05fea3
1084395000,10,11,feec0293
1084405000,10,12,031cfde5
1084415000,10,13,fd02ffcf
1084425000,10,14,029c00ae
1084435000,10,15,ff060083
1084445000,10,16,fec6ff88
1084455000,10,17,014eff79
1084465000,10,18,fd8301f7
1084475000,10,19,01d9fdb3
1084485000,10,20,00d50199
1084495000,10,21,ff1ffec3
1084505000,10,22,00cc0152
1084515000,10,23,fea3fe48
1084525000,10,24,00f901dc
1084535000,10,25,ffd9fedd
1084545000,10,26,ff910059
1084555000,10,27,ffb4ff11
1084565000,10,28,01b2016f
1084575000,10,29,feae0013
1084585000,10,30,009aff48
1084595000,10,31,fec4008f
1088875000,11,0,0303fff4
1088885000,11,1,ff2901fa
1088895000,11,2,ff46fe76
1088905000,11,3,010a0003
1088915000,11,4,fd480092
1088925000,11,5,049a0181
1088935000,11,6,fd86fe4b
1088945000,11,7,ffde0041
1088955000,11,8,005f002f
1088965000,11,9,ff7700d5
1088975000,11,10,006ffd93
1088985000,11,11,ff3d02d3
1088995000,11,12,01defd61
1089005000,11,13,fed20186
1089015000,11,14,0081ffac
1089025000,11,15,ffbdff79
1089035000,11,16,ffcb0174
1089045000,11,17,fed50008
1089055000,11,18,011afe98
1089065000,11,19,0156001f
1089075000,11,20,ff080170
1089085000,11,21,ff7efe05
1089095000,11,22,005401d1
1089105000,11,23,ff16fdff
1089115000,11,24,011f025d
1089125000,11,25,008ffddd
1089135000,11,26,fecd01b3
1089145000,11,27,0113ff37
1089155000,11,28,ffceff89
1089165000,11,29,ff3a0130
1089175000,11,30,0211ffc4
1089185000,11,31,fc27fe6b
1093465000,12,0,00b000e8
1093475000,12,1,ff6cffc3
1093485000,12,2,002f0006
1093495000,12,3,006700a9
1093505000,12,4,fdae008e
1093515000,12,5,0447ff38
1093525000,12,6,fdb10044
1093535000,12,7,00510064
1093545000,12,8,ff1eff07
1093555000,12,9,00360103
1093565000,12,10,0094fd1c
1093575000,12,11,0006052e
1093585000,12,12,fff8fafd
1093595000,12,13,011a0143
